Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
115,Cambodia,1016,Goats,5608,Import Quantity,2018,2018,Head,23,R
115,Cambodia,1034,Pigs,5608,Import Quantity,2018,2018,Head,509705,R
115,Cambodia,1034,Pigs,5908,Export Quantity,2018,2018,Head,2250,F
115,Cambodia,1140,Rabbits and hares,5609,Import Quantity,2018,2018,1000 Head,0,*
115,Cambodia,976,Sheep,5608,Import Quantity,2018,2018,Head,318,*
32,Cameroon,866,Cattle,5608,Import Quantity,2018,2018,Head,50000,F
32,Cameroon,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,625,R
32,Cameroon,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,0,*
32,Cameroon,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,1223,R
32,Cameroon,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,330,R
32,Cameroon,1074,"Offals, liver geese",5610,Import Quantity,2018,2018,tonnes,0,*
32,Cameroon,1034,Pigs,5608,Import Quantity,2018,2018,Head,38,*
32,Cameroon,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,0,*
33,Canada,866,Cattle,5608,Import Quantity,2018,2018,Head,202160,NA
33,Canada,866,Cattle,5908,Export Quantity,2018,2018,Head,631211,NA
33,Canada,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,36827,NA
33,Canada,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,5920,NA
33,Canada,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,104,NA
33,Canada,1068,Ducks,5909,Export Quantity,2018,2018,1000 Head,3130,NA
33,Canada,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,49410,NA
33,Canada,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,481,NA
33,Canada,1016,Goats,5608,Import Quantity,2018,2018,Head,25,NA
33,Canada,1016,Goats,5908,Export Quantity,2018,2018,Head,1593,NA
33,Canada,1074,"Offals, liver geese",5610,Import Quantity,2018,2018,tonnes,49,NA
33,Canada,1034,Pigs,5608,Import Quantity,2018,2018,Head,3333,NA
33,Canada,1034,Pigs,5908,Export Quantity,2018,2018,Head,5263810,NA
33,Canada,1140,Rabbits and hares,5609,Import Quantity,2018,2018,1000 Head,6,NA
33,Canada,1140,Rabbits and hares,5909,Export Quantity,2018,2018,1000 Head,91,NA
33,Canada,976,Sheep,5608,Import Quantity,2018,2018,Head,165,NA
33,Canada,976,Sheep,5908,Export Quantity,2018,2018,Head,5746,NA
33,Canada,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,3881,NA
33,Canada,1079,Turkeys,5909,Export Quantity,2018,2018,1000 Head,8900,NA
37,Central African Republic,866,Cattle,5608,Import Quantity,2018,2018,Head,5200,F
37,Central African Republic,866,Cattle,5908,Export Quantity,2018,2018,Head,53000,F
37,Central African Republic,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,296,*
37,Central African Republic,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,551,NA
37,Central African Republic,976,Sheep,5608,Import Quantity,2018,2018,Head,15300,F
39,Chad,866,Cattle,5908,Export Quantity,2018,2018,Head,72000,F
39,Chad,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,121,R
39,Chad,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,15,R
39,Chad,1016,Goats,5908,Export Quantity,2018,2018,Head,110000,F
39,Chad,976,Sheep,5608,Import Quantity,2018,2018,Head,52,*
40,Chile,866,Cattle,5608,Import Quantity,2018,2018,Head,20,Im
40,Chile,866,Cattle,5908,Export Quantity,2018,2018,Head,538,NA
40,Chile,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,448,Im
40,Chile,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,134,NA
40,Chile,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,3,NA
40,Chile,1034,Pigs,5608,Import Quantity,2018,2018,Head,477,NA
40,Chile,1034,Pigs,5908,Export Quantity,2018,2018,Head,14,NA
351,China,866,Cattle,5608,Import Quantity,2018,2018,Head,183437,A
351,China,866,Cattle,5908,Export Quantity,2018,2018,Head,18844,A
351,China,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,7521,A
351,China,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,2404,A
351,China,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,20,A
351,China,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,179189,A
351,China,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,75076,A
351,China,1016,Goats,5608,Import Quantity,2018,2018,Head,6686,A
